"Name","Value","ARCHIVE","SPONLY","GAMEDLL","CHEAT","USERINFO","NOTIFY","PROTECTED","PRINTABLEONLY","UNLOGGED","NEVER_AS_STRING","REPLICATED","DEMO","DONTRECORD","SERVER_CAN_EXECUTE","CLIENTCMD_CAN_EXECUTE","CLIENTDLL","SS","SS_ADDED","DEVELOPMENTONLY",,"Help Text"
"@panorama_debug_overlay_opacity","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,""
"@panorama_force_sort_child_ops","0       ",,,,"CHEAT",,,,,,,,,,,,,,,,,""
"_autosave","cmd",,,,,,,,,,,,,,,,,,,,,"Autosave"
"_autosavedangerous","cmd",,,,,,,,,,,,,,,,,,,,,"AutoSaveDangerous"
"_bugreporter_restart","cmd",,,,,,,,,,,,,,,,,,,,,"Restarts bug reporter .dll"
"_record","cmd",,,,,,,,,,,,,,,,,,,,,"Record a demo incrementally."
"_resetgamestats","cmd",,,,,,,,,,,,,,,,,,,,,"Erases current game stats and writes out a blank stats file"
"_restart","cmd",,,,,,,,,,,,,,,,,,,,,"Shutdown and restart the engine."
"achievement_debug","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,"Turn on achievement debug msgs."
"achievement_disable","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,"Turn off achievements."
"addip","cmd",,,,,,,,,,,,,,,,,,,,,"Add an IP address to the ban list."
"adsp_debug","0       ","ARCHIVE",,,,,,,,,,,,,,,,,,,,""
"adsp_reset_nodes","cmd",,,,,,,,,,,,,,,,,,,,,""
"ai_clear_bad_links","cmd",,,,,,,,,,,,,,,,,,,,,"Clears bits set on nav links indicating link is unusable "
"ai_debug_los","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,"NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'l"
"ai_debug_node_connect","cmd",,,,,,,,,,,,,,,,,,,,,"Debug the attempted connection between two nodes"
"ai_debug_shoot_positions","0       ",,,,"CHEAT",,,,,,,"REPLICATED",,,,,"CLIENTDLL",,,,,""
"ai_disable","cmd",,,,,,,,,,,,,,,,,,,,,"Bi-passes all AI logic routines and puts all NPCs into their idle animations.  Can be used to get NPCs out of your way and to t"
"ai_drawbattlelines","0       ",,,"GAMEDLL","CHEAT",,,,,,,,,,,,,,,,,""
"ai_drop_hint","cmd",,,,,,,,,,,,,,,,,,,,,"Drop an ai_hint at the player's current eye position."
"ai_dump_hints","cmd",,,,,,,,,,,,,,,,,,,,,""
"ai_hull","cmd",,,,,,,,,,,,,,,,,,,,,"Controls which connections are shown when ai_show_hull or ai_show_connect commands are used
	Arguments:	NPC name or classname, "
"ai_next_hull","cmd",,,,,,,,,,,,,,,,,,,,,"Cycles through the various hull sizes.  Currently selected hull size is written to the screen.  Controls which connections are "
"ai_nodes","cmd",,,,,,,,,,,,,,,,,,,,,"Toggles node display.  First call displays the nodes for the given network as green objects.  Second call  displays the nodes a"
"ai_report_task_timings_on_limit","0       ","ARCHIVE",,"GAMEDLL",,,,,,,,,,,,,,,,,,""
"ai_resume","cmd",,,,,,,,,,,,,,,,,,,,,"If NPC is stepping through tasks (see ai_step ) will resume normal processing."
"ai_set_move_height_epsilon","cmd",,,,,,,,,,,,,,,,,,,,,"Set how high AI bumps up ground walkers when checking steps"
"ai_setenabled","cmd",,,,,,,,,,,,,,,,,,,,,"Like ai_disable but you manually specify the state (with a 0 or 1) instead of toggling it."
"ai_show_connect","cmd",,,,,,,,,,,,,,,,,,,,,"Displays the allowed connections between each node for the currently selected hull type.  Hulls are color code as follows:
	Gre"
